Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
3401,,additional reasons for,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,* reasons for
39,,additional research,core/salient,,,,,,,6,1,6,,NULL
,,additonal benefit,contribution,,,if in conclusion section,,,,8,,,,
,,additional research is required,problem statement,,,if appears in Introduction,,,,30,,,,
42,,additional research is required,limitation,,,if appears after Results section or in conclusions section,,,,6,1,6,,NULL
,,additional studies are required,problem statement,,,if appears in Introduction,,,,30,,,,
40,,additional studies are required,limitation,,,if appears after Results section or in conclusions section,,,,6,1,6,,NULL
41,,additional study,core/salient,,,,,,,6,0,6,,NULL
4052,,additionally,additive,,,,,,,14,1,14,NULL,NULL
5193,,additive effect,core/salient,,,,,,,6,1,6,,NULL
Sep13,,address,core/salient,,,,,,,6,,,,
6253,,address the needs of,core/salient,,,,,,,6,1,6,,address% the needs of
,,address the needs of,problem statement,,,intro section,,,,30,,,,
Sep13,,address the problem,purpose - own,,self ref and/or deictic work ref,,,,,23,,,,
,,address the problem,problem statement,,,intro section,,,,30,,,,
44,,address the question of,general/rhetorical question,question ,ends with question mark (?),no markers of hypotheses,,,,26,1,25,NULL,address% the question of
6363,,addressed,core/salient,,,,,,,6,0,6,,NULL
Sep13,,addressed the need for,core/salient,,,,,,,6,,,,
6364,,addresses,core/salient,,,,,,,6,0,6,,address%
,,addressed the need for,contribution,,,if in conclusion section,,,,8,,,,
43,,addresses only the question of,core/salient,,,,,,,6,1,6,,address% only the question of
,,addresses only the question of,limitation,,,if appears after Results section or in conclusions section,,,,5,,,,
Sep13,,addresses questions of,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
7881,,addresses the question of,general/rhetorical question,question ,,ends with question mark (?),,,,26,1,25,NULL,NULL
45,,adds,core/salient,,,,,,,6,1,6,,add%
3664,,adds little,core/salient,,,,,,,6,1,13,,NULL
47,,adds little to,core/salient,,,,,,,6,1,13,,NULL
48,,adds much,core/salient,,,,,,,6,1,13,,NULL
49,,adequate,core/salient,,,,,,,6,0,6,,NULL
50,,adequate resources,core/salient,,,,,,,6,0,6,,NULL
7004,,adequately,core/salient,,,,,,,6,0,13,,NULL
51,,adequately dealt with,core/salient,,,,,,,6,1,6,,NULL
Sep13,,adhoc,core/salient,,,,,,,6,,,,
Sep13,,adjust,core/salient,,,,,,,6,,,,
6377,,adjusted,core/salient,,,,,,,6,1,6,,adjust%
Sep13,empirical,adjusted means,core/salient,,,,,,,6,,,,
6765,,adjustments,core/salient,,,,,,,6,1,6,,adjustment%
4385,,admittedly,change in direction,,,,,,,16,1,16,NULL,NULL
Sep13,,adopt,core/salient,,,,,,,6,,,,
6857,,adopted,core/salient,,,,,,,6,0,6,,adopt%
1932,,advantage,core/salient,,,,,,,6,1,13,,NULL
53,,advantage for,core/salient,,,,,,,6,1,13,,advantage% for
54,,advantage of,core/salient,,,,,,,6,1,13,,NULL
7033,,advantage over,core/salient,,,,,,,6,1,13,,NULL
409,,advantage to,core/salient,,,,,,,6,1,13,,NULL
56,,advantageous,core/salient,,,,,,,6,1,13,,NULL
5318,,advantageous for,core/salient,,,,,,,6,1,13,,NULL
55,,advantages,core/salient,,,,,,,6,1,13,,NULL
Sep13,,advantages over,core/salient,,,,,,,6,,,,
Sep13,,advantages to,core/salient,,,,,,,6,,,,
Sep13,,adverse,core/salient,,,,,,,6,,,,
Sep13,,adversely,core/salient,,,,,,,6,,,,
Sep13,,adversity,core/salient,,,,,,,6,,,,
57,,advisable,core/salient,,,,,,,6,1,13,,NULL
Sep13,,advocate,core/salient,,,,,,,6,,,,
3356,,affect,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,affect%
3402,,affected,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,affected
5376,,affected by,consequence / result,,,,,,,9,1,9,NULL,NULL
3283,,affects,consequence / result,,,,,,,9,1,9,NULL,affect%
Sep13,,afford,core/salient,,,,,,,6,,,,
3540,,after,time/sequence,,,,,,,12,0,12,NULL,NULL
3541,,after a while,time/sequence,,,,,,,12,0,12,NULL,NULL
Sep13,empirical,after controlling for,core/salient,,,,,,,6,,,,
5192,empirical,after treatment with,core/salient,,,,,,,6,1,6,,after * treatment% with ***
3542,,afterwards,time/sequence,,,,,,,12,0,12,NULL,NULL
5374,,again,core/salient,,,,,,,6,1,6,,NULL
7203,,against,core/salient,,,,,,,6,1,6,,NULL
Sep13,,aggravate,core/salient,,,,,,,6,,,,
Sep13,,aggregate,core/salient,,,,,,,6,,,,
6053,,aggregated,core/salient,,,,,,,6,1,6,,NULL
Sep13,,aggressive,core/salient,,,,,,,6,,,,
Sep13,,agree,core/salient,,,,,,,6,,,,
59,,agree that,core/salient,,,,,,,6,1,6,,agree% that
Sep13,,agree with,core/salient,,,,,,,6,,,,
60,,agreement,core/salient,,,,,,,6,0,6,,NULL
491,,agreement concerning,core/salient,,,,,,,6,1,6,,NULL
492,,agreement with regard to,core/salient,,,,,,,6,1,6,,NULL
Sep13,,agrees with,core/salient,,,,,,,6,,,,
61,,aid,core/salient,,,,,,,6,1,6,,aid%
62,,aid in,core/salient,,,,,,,6,1,6,,NULL
63,,aid to,core/salient,,,,,,,6,1,6,,NULL
5952,,aided,core/salient,,,,,,,6,1,6,,NULL
65,,aim,purpose - general,,,not marker of purpose-own if no self ref or deictic ref,,,,22,1,22,NULL,NULL
7786,,aim of the present research,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7787,,aims of the present research,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7782,,aim of the present study,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7792,,aims of the present study,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7794,,aims of this paper,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7686,,aim of this paper is,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7795,,aim of this paper was,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7685,,aims of this research,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7784,,aim of this research is,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7785,,aim of this research was,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
6599,,aim of this study,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7683,,aim of this study is,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7780,,aim of this study was,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
6597,,aims,purpose - general,,,not marker of purpose-own if no self ref or deictic ref,,,,22,1,22,NULL,aim%
7791,,aims of the research are,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
6607,,aims of this chapter,purpose - own,,deictic work ref,,,,,23,1,23,NULL,aims of this **  to
7796,,aims of this paper are,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7797,,aims of this paper were,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7788,,aims of this research are,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7789,,aims of this research were,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7781,,aims of this study,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7684,,aims of this study are,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
7779,,aims of this study were,purpose - own,,deictic work ref,,,,,23,1,23,NULL,NULL
67,,alarming,core/salient,,,,,,,6,1,13,,alarming%
68,,alarming rate,core/salient,,,if in intro section,,,,6,1,6,,NULL
Sep13,,alarmingly,core/salient,,,,,,,6,,,,
4386,,albeit,change in direction,,,,,,,16,1,16,NULL,NULL
69,,alert,core/salient,,,,,,,6,1,6,,alert%
70,,alerts us to,core/salient,,,,,,,6,1,6,,NULL
Sep13,,algorithm,core/salient,,,,,,,6,,,,
Sep13,,algorithm for,core/salient,,,,,,,6,,,,
Sep13,,alike,core/salient,,,,,,,6,,,,
71,,all,core/salient,,,,,,,6,1,6,,NULL
72,,all available,core/salient,,,,,,,6,1,6,,NULL
6247,,all but one,core/salient,,,,,,,6,1,6,,NULL
75,,all the more,core/salient,,,,,,,6,1,6,,NULL
76,,all the more important,attention flagger,,,,,,,29,1,6,,NULL
77,,all the more reason,attention flagger,,,,,,,29,1,6,,NULL
7106,,all times,core/salient,,,,,,,6,0,6,,NULL
3667,,allegedly,core/salient,,,,,,,6,1,13,,NULL
,,alarming rate,problem statement,,,if in intro section,,,,30,,,,
Sep13,,alleviate,core/salient,,,,,,,6,,,,
Sep13,,allocate,core/salient,,,,,,,6,,,,
78,,allow,core/salient,,,,,,,6,1,6,,allow%
5323,,allow for,core/salient,,,,,,,6,1,6,,allow% for *
,,contribution,,,,if in conclusion section,,,,8,,,,
79,,allow us to,contribution,contribution,,,,,,8,1,8,NULL,* allow% us to
3219,,allow you  to understand,contribution,contribution,,,,,,8,1,8,NULL,* allow% you to *
3206,,allow you to,contribution,contribution,,,,,,8,1,8,NULL,* allow% * to
3220,,allow you to see,contribution,contribution,,,,,,8,1,8,NULL,* allow% * to see
7453,,allows,core/salient,,,,,,,6,1,6,,allow%
Sep13,,allows for,core/salient,,,,,,,6,,,,
Sep13,,allows the treatment of,core/salient,,,,,,,6,,,,
,,allows the treatment of,contribution,,if in intro section,,,,,8,,,,
7633,,allows us to,contribution,contribution,,,,,,8,1,6,,allows * to
81,,allows you to,contribution,contribution,,,,,,8,1,8,NULL,NULL
82,,almost,core/salient,,,,,,,6,1,6,,NULL
84,,almost all,core/salient,,,,,,,6,1,6,,NULL
86,,almost always,core/salient,,,,,,,6,1,6,,NULL
5427,,almost any,core/salient,,,,,,,6,0,6,,NULL
3783,,almost certain,core/salient,,,,,,,6,1,13,,NULL
88,,almost entirely,core/salient,,,,,,,6,1,6,,NULL
89,,almost half,core/salient,,,,,,,6,1,6,,NULL
4477,,almost identical to,comparison,,,,,,,17,1,17,NULL,NULL
90,,almost no,core/salient,,,,,,,6,1,6,,NULL
5769,,alone,core/salient,,,,,,,6,1,6,,NULL
Sep13,,along the lines of,core/salient,,,,,,,6,,,,
Sep13,,along the same lines,core/salient,,,,,,,6,,,,
5447,,along with,core/salient,,,,,,,6,1,6,,NULL
93,empirical,alpha level of,core/salient,,,,,,,6,1,6,,alpha levels of
Sep13,empirical,alpha of,core/salient,,,,,,,6,,,,
5386,empirical,alpha of 0.5,core/salient,,,,,,,6,1,6,,NULL
5909,,already,core/salient,,,,,,,6,0,6,,NULL
94,,also,additive,,,,,,,14,1,6,,NULL
95,,also a factor,core/salient,,,,,,,6,1,6,,NULL
97,,also a key factor in,core/salient,,,,,,,6,1,6,,NULL
98,,also be due to,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,NULL
,,almost no,problem statement,,,if in intro section,,,,30,,,,
4729,,also called,explanations / definitions,explanation / definition,,,,,,20,0,20,NULL,NULL
7430,,also increased,consequence / result,,,,,,,9,1,9,NULL,also increase%
7650,,also possible that,conclusion,,,,,,,6,1,6,,also possible that
Sep13,,alter,core/salient,,,,,,,6,,,,
Sep13,,alternate,core/salient,,,,,,,6,,,,
101,,alternative,core/salient,,,,,,,6,0,6,,NULL
102,,alternatively,core/salient,,,,,,,6,1,6,,NULL
6766,,alters,consequence / result,,,,,,,9,1,9,NULL,alter%
4388,,although,change in direction,,,,,,,16,1,16,NULL,NULL
Sep13,,although it is possible that,change in direction,,,,,,,16,,,,
4924,,although we do not agree on,conclusion,,,,,,,21,1,21,NULL,NULL
106,,always,core/salient,,,,,,,6,1,6,,NULL
7221,,ambiguity,core/salient,,,,,,,6,1,6,,NULL
107,,ambiguous,core/salient,,,,,,,6,1,6,,NULL
Sep13,,ambivalence,core/salient,,,,,,,6,,,,
Sep13,,ameliorate,core/salient,,,,,,,6,,,,
108,,amount,core/salient,,,,,,,6,0,6,,amount%
109,,amount of,core/salient,,,,,,,6,0,6,,NULL
110,,amount to,core/salient,,,,,,,6,0,6,,NULL
7549,,amounts,core/salient,,,,,,,6,0,6,,amount%
111,,ample,core/salient,,,,,,,6,0,6,,NULL
112,,ample evidence that,core/salient,,,,,,,6,1,6,,NULL
Sep13,,amplifies,core/salient,,,,,,,6,,,,
113,,amply,core/salient,,,,,,,6,0,6,,NULL
3082,,an additional,additive,,,,,,,14,1,14,NULL,NULL
Sep13,,an analysis of,core/salient,,,,,,,6,,,,
5896,,an attempt to,purpose - general,,,not marker of purpose-own if no self ref or deictic ref,,,,22,1,22,NULL,an attempt to
Sep13,,an effective ... for,core/salient,,,,,,,6,,,,
4694,,an example of,example,,,,,,,19,0,19,NULL,NULL
7450,,an increased incidence of,consequence / result,,,,,,,9,1,9,NULL,** incidence of
,,an effective ... for,contribution,,if in discussion or conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
Sep13,,an understanding of,contribution,,if in discussion or conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
6821,,analogous,core/salient,,,,,,,6,1,6,,NULL
Sep13,,analogous to,core/salient,,,,,,,6,,,,
Sep13,,analogously,core/salient,,,,,,,6,,,,
Sep13,,analogy,core/salient,,,,,,,6,,,,
Sep13,,analyse,core/salient,,,,,,,6,,,,
Sep13,,analyses,core/salient,,,,,,,6,,,,
114,empirical,"analyses (chi-square, p<.01)",core/salient,,,,,,,6,1,6,,NULL
6146,,analyses of,core/salient,,,,,,,6,1,6,,analyses of **
5992,empirical,analyses of variance,core/salient,,,,,,,6,1,6,,NULL
115,,analysis,core/salient,,,,,,,6,1,6,,NULL
116,,analysis of,core/salient,,,,,,,6,1,6,,NULL
5997,empirical,analysis of covariance,core/salient,,,,,,,6,1,6,,NULL
5991,empirical,analysis of variance,core/salient,,,,,,,6,1,6,,NULL
Sep13,,analysis presented here,core/salient,,,,,,,6,,,,
Sep13,,analyze,core/salient,,,,,,,6,,,,
5357,,analyzed,core/salient,,,,,,,6,1,6,,analyze%
3543,,"and now, suddenly",time/sequence,,,,,,,12,0,12,NULL,NULL
3670,,anecdotal,core/salient,,,,,,,6,1,13,,NULL
,,an understanding of,core/salient,,,,,,,6,,,,
118,,anecdotal evidence,limitation,,,"if appears after Results section or in conclusions section
",,,,6,1,6,,NULL
,,anecdotal evidence,core/salient,,,,,,,6,,,,
119,,anecdotal results,limitation,,,"if appears after Results section or in conclusions section
",,,,6,1,6,,NULL
120,,anecdotally,core/salient,,,,,,,6,1,6,,NULL
Sep13,,annoying,core/salient,,,,,,,6,,,,
4058,,another,additive,,,,,,,14,0,14,NULL,NULL
4057,,another aspect is,additive,,,,,,,14,0,14,NULL,NULL
122,,another conclusion,conclusion,,,,,,,21,1,21,NULL,NULL
5288,,another goal of this study,purpose - own,,deictic work ref,,,,,23,1,23,NULL,another * of this study
3405,,another reason,cause/reason,,,,,,,10,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,* reason *
123,,another way of,core/salient,,,,,,,6,0,6,,NULL
124,,another way to explain this is,explanations / definitions,,,,,,,20,1,20,NULL,NULL
Sep13,empirical,anova,core/salient,,,,,,,6,,,,
7614,,answer,core/salient,,,,,,,6,0,6,,answer%
,,anecdotal results,core/salient,,,,,,,6,,,,
7196,,answer appears to be,conclusion,conclusion,,,,,,21,0,21,NULL,answer * appears to be
Sep13,,answer seems obvious,core/salient,,,,,,,6,,,,
Sep13,,answers the above question,navigation,,,,,,,15,,,,
Sep13,,answers the above questions,navigation,,,,,,,15,,,,
Sep13,,antecedent,core/salient,,,,,,,6,,,,
6822,,anticipated,core/salient,,,,,,,6,0,6,,anticipate%
125,,any certainty,core/salient,,,,,,,6,0,6,,NULL
126,,anything but,core/salient,,,,,,,6,1,6,,NULL
127,,apart from,core/salient,,,,,,,6,1,6,,NULL
128,,apparent,core/salient,,,,,,,6,0,6,,NULL
129,,apparent contradiction,contradiction,contradiction,,,,,,27,1,6,,NULL
5669,,apparent from,core/salient,,,,,,,6,1,6,,NULL
3671,,apparently,core/salient,,,,,,,6,0,13,,NULL
Sep13,,appealing,core/salient,,,,,,,6,,,,
130,,appear,core/salient,,,,,,,6,0,6,,NULL
5863,,appear to,conclusion,,,,,,,21,1,13,,appear% to
5864,,appear to be,conclusion,,,,,,,21,0,13,,appear% to be
6713,,appear to be few,conclusion,conclusion,,,,,,21,1,21,NULL,appear% to be * few
134,,appear to be little,conclusion,conclusion,,,,,,21,1,6,,NULL
135,,appear to be little if any,conclusion,conclusion,,,,,,21,1,6,,NULL
4927,,appear to be no,conclusion,conclusion,,,,,,21,1,21,NULL,appear% to be no
4928,,appear to be no single,conclusion,conclusion,,,,,,21,1,21,NULL,appear to be no single
138,,appear to be successful,core/salient,,,,,,,6,1,13,,NULL
139,,appear to be sufficient,conclusion,conclusion,,,,,,21,1,21,NULL,NULL
140,,appear to be sufficient to,conclusion,conclusion,,,,,,21,1,21,NULL,appear% to be ** sufficient to
141,,appear to benefit from,conclusion,conclusion,,,,,,21,1,13,,NULL
142,,appear to fit criteria,conclusion,conclusion,,,,,,21,1,13,,NULL
6711,,appear to have,core/salient,conclusion,,,,,,6,0,13,,appear% to have
143,,appear to have benefited from,conclusion,conclusion,,,,,,21,1,21,NULL,appear% to have benefited from
144,,appear to reflect,conclusion,conclusion,,,,,,21,1,6,,appear% to reflect
5302,,appeared to inhibit,conclusion,conclusion,,,,,,21,1,21,NULL,* * inhibit%
131,,appears that,conclusion,conclusion,,,,,,21,0,13,,NULL
6710,,appears to,conclusion,conclusion,,,,,,21,0,13,,appear% to
Sep13,,applicability,core/salient,,,,,,,6,,,,
1193,,application,core/salient,,,,,,,6,0,6,,application%
6859,,applied,core/salient,,,,,,,6,0,6,,NULL
Sep13,,applied to,core/salient,,,,,,,6,,,,
Sep13,,applies to,core/salient,,,,,,,6,,,,
145,,apply,core/salient,,,,,,,6,0,6,,NULL
Sep13,,apply only to,core/salient,,,,,,,6,,,,
146,,apply to,core/salient,,,,,,,6,0,6,,NULL
Sep13,,approach,core/salient,,,,,,,6,,,,
148,,approach zero,core/salient,,,,,,,6,1,6,,approach% zero
7134,,approached zero,core/salient,,,,,,,6,1,6,,NULL
Sep13,,approaches,core/salient,,,,,,,6,,,,
