Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
Sep13,,avenues of future research,recommendation ,,,,,,,31,,,,
3221,,benefit is,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,benefit% *
6631,,benefits are,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,* benefits **
3222,,benefits include,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
3223,,benefits were,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,* benefits **
6867,,better understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,* understanding of
292,empirical ,bias associated with,limitation ,,if in discussion or in conclusion section,,,,,6,1,6,,NULL
Sep13,,biases,limitation ,,if in discussion or in conclusion section,,,,,6,,,,
6346,,call into question,problem statement,,if in intro,,,,,30,1,16,NULL,NULL
Sep13,,can be used,recommendation ,,,,,,,31,,,,
3217,,can contribute to,contribution,,,,,,,8,1,8,NULL,* contribute% to
6615,,can help you to,contribution,,,,,,,8,1,8,NULL,can help * to
349,,cannot be generalized,limitation,,"if appears in discussion or in 
conclusion sections",,,,,5,1,21,NULL,NULL
Sep13,,caution is warranted,limitation,,"if appears in discussion or in 
conclusion sections",,,,,6,,,,
Sep13,,caution must be used,limitation,,"if appears in discussion or in 
conclusion sections",,,,,6,,,,
,,central issue,problem statement,,,if in introduction section,,,,30,,,,
373,,central to our understanding of,contribution,,,,,,,8,1,8,NULL,central to ** understanding of
,,challenge remains,limitation ,,if in discussion or in conclusion section,,,,,6,,,,
381,,challenge remains,problem statement,,if appears in intro,,,,,30,1,6,,NULL
400,empirical ,clarification of the relationship between,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
3703,,doubts as to,problem statement,,,if in intro ,,,,30,1,13,,NULL
529,,contributes to an understanding of...,contribution,,,,,,,8,1,8,NULL,contribute% to an understanding of
3224,,contributes to your understanding of,contribution,,,,,,,8,1,8,NULL,contribute% to * understanding of
530,,contribution,contribution,,,,,,,8,1,6,,NULL
Sep13,,contribution of,contribution,,,,,,,8,,,,
Sep13,,contribution of this,contribution,,,,,,,8,,,,
532,,contribution to,contribution,,,,,,,8,1,6,,NULL
6013,,contributions,contribution,,,,,,,8,1,6,,contribution%
Sep13,,contributions of this,contribution,,,,,,,8,,,,
7263,,creates a conceptual framework,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,create% a conceptual framework
579,,crucial link between,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
Sep13,,data sparseness,limitation,,"if in discussion or in conclusion 
section",,,,,5,,,,
612,,deepen your understanding of,contribution,,,,,,,8,1,8,NULL,deepen% * understanding of
611,,deeper understanding of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
694,,difficult to distinguish,problem statement,,if in intro ,,,,,30,1,6,,NULL
707,,directions for additional research,recommendation ,,,,,,,31,1,6,,NULL
4158,,directions for further research,recommendation ,,,,,,,31,1,6,,NULL
708,,directions for future research,recommendation ,,,,,,,31,1,6,,NULL
784,,enable us to,contribution,,,,,,,8,1,8,NULL,enable% us to
785,,enable you to,contribution,,,,,,,8,1,8,NULL,enable% * to
3207,,enabled us to,contribution,,,,,,,8,1,8,NULL,enable% us to
3226,,enables you to,contribution,,,,,,,8,1,8,NULL,enable% * to see
3227,,enables you to understand,contribution,,,,,,,8,1,8,NULL,enable% * to understand
7627,,expand awareness,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,expand ** awareness
6926,,few studies have specifically addressed,problem statement,,if in introduction section,,,,,30,1,7,NULL,few studies have * addressed
7927,,final hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7923,,first hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7887,,following hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
1006,,following hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
1007,,following question,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,following question%
6852,,for future research,recommendation ,,,,,,,31,1,6,,NULL
6120,,for understanding,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
7380,,form a framework for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,form% a * framework for
7926,,{number} hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,further research is needed,limitation,,if in discussion or in conclusion section ,,,,,5,,,,
1044,,further research is needed,problem statement,,if in introduction,,,,,30,1,6,,further research is *
6729,,further studies should,recommendation ,,,,,,,31,1,13,,further * should
5010,,further studies should control for,recommendation ,,,,,,,31,1,21,NULL,NULL
1046,,further studies that investigate,recommendation ,,,,,,,31,1,6,,NULL
Sep13,,future investigations should,recommendation ,,,,,,,31,,,,
6012,,future research,recommendation ,,,,,,,31,1,6,,NULL
Sep13,,future studies are needed,recommendation ,,,,,,,31,,,,
1050,,future studies should,recommendation ,,,,,,,31,1,6,,NULL
1051,,future studies should control for,recommendation ,,,,,,,31,1,6,,NULL
3208,,gives you,contribution,,,,,,,8,1,8,NULL,give% you
1079,,greatly reduced,problem statement,,if in introduction,,,,,30,1,9,NULL,NULL
7659,,guide us,contribution,,,,,,,8,1,8,NULL,NULL
Sep13,,has been criticized,problem statement,,if in introduction,,,,,30,,,,
2860,,has its problems,problem statement,,if in introduction,,,,,30,1,6,,has *** problems
7261,,has lacked,problem statement,,if in introduction,,,,,30,1,13,,NULL
5025,,has not been determined,problem statement,,if in introduction,,,,,30,1,21,NULL,NULL
7600,,have ... no data,problem statement,problem statement,if in introduction,,,,,30,1,21,NULL,have found ** data
5030,,have not been determined,problem statement,,if in introduction,,,,,30,1,6,,NULL
5031,,have to be interpreted with,limitation,,if in discussion or in conclusion sections,,,,,5,1,21,NULL,* be interpreted with
5032,,have to be interpreted with a certain amount of caution,limitation,,if in discussion or in conclusion sections,,,,,5,1,21,NULL,NULL
Sep13,,have yet to,problem statement,,if in introduction,,,,,30,,,,
1108,,heighten your awareness of,contribution,,,,,,,8,1,6,,heighten% * awareness of
6305,,help to explain,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,help% to explain
3202,,help us,contribution,,,,,,,8,1,8,NULL,help% us
3209,,help you,contribution,,,,,,,8,1,8,NULL,help% you
3100,,help you to,contribution,,,,,,,8,1,8,NULL,help% you to
3212,,help you to understand,contribution,,,,,,,8,1,8,NULL,NULL
3233,,helps to highlight,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,help% to highlight
3234,,helps to reveal,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,help% to reveal
3215,,helps you,contribution,,,,,,,8,1,8,NULL,help% you
3210,,helps you to,contribution,,,,,,,8,1,8,NULL,NULL
3211,,helps you to appreciate,contribution,,,,,,,8,1,8,NULL,help% you to appreciate
3746,,"however, little evidence",problem statement,,if in introduction,,,,,30,1,6,,NULL
6888,,hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
Sep13,,hypotheses investigated in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
1156,,hypotheses were,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,hypotheses were examined,hypothesis/research question  ,question,if no self ref and deictic work references,,,,,25,,,,
,,hypotheses were investigated,hypothesis/research question  ,question,if no self ref and deictic work references,,,,,25,,,,
,,hypotheses:,hypothesis/research question  ,question,if no self ref and deictic work references,,,,,25,,,,
6111,,hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,hypothesis examined,hypothesis/research question  ,question,if no self ref and deictic work references,,,,,25,,,,
1159,,hypothesis in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
Sep13,,hypothesis investigated in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
1161,,hypothesis of this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
8014,,hypothesis:,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
Sep13,,hypothesized as,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,,,,
6155,,hypothesized that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
1432,,important to understand,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
1433,,important to understand that,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
,,not enough is known about,problem statement,,if in introduction,,,,,30,,,,
,,need to be improved,problem statement,problem statement,if in introduction section,,,,,30,,,,
1254,,in order to solve,problem statement,,if in introduction section,not marker of purpose-own if no self ref or deictic ref,,,,30,1,22,NULL,NULL
1255,,in order to solve this problem,problem statement,,if in introduction section,not marker of purpose-own if no self ref or deictic ref,,,,30,1,22,NULL,NULL
3318,,in the aftermath,problem statement,,if in introduction section,,,,,30,1,9,NULL,NULL
,,additional clarification is needed,problem statement,,if in introduction section,,,,,30,,,,
,,are needed ,problem statement,,if in introduction section,,,,,30,,,,
,,are required,problem statement,,if in introduction section,,,,,30,,,,
,,lack of,problem statement,,if in introduction ,,,,,30,,,,
,,not enough,problem statement,,if in introduction ,,,,,30,,,,
Sep13,,Incompatibility between,problem statement,,if in introduction ,,,,,30,,,,
1289,,incomplete,problem statement,,if in introduction ,,,,,30,1,13,,NULL
1290,,inconclusive,problem statement,,if in introduction,,,,,30,1,13,,NULL
1291,,inconsistent,problem statement,,if in introduction,,,,,30,1,6,,NULL
1294,,inconsistent with,problem statement,,if in introduction,,,,,30,1,6,,NULL
6902,,increased awareness of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,* awareness of
1303,,increased need for,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,questions remain unanswered ,problem statement,,if in introduction ,,,,,30,,,,
1309,,increasingly aware of,problem statement,,if in introduction ,,,,,30,1,6,,NULL
1310,,increasingly important to,problem statement,,if in introduction,,,,,30,1,13,,NULL
Sep13,,increasingly in need of,problem statement,,if in introduction ,,,,,30,,,,
7386,,increasingly widespread,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,loss of ,problem statement,,if in introduction ,,,,,30,,,,
,,not enough is known about,problem statement,,if in introduction,,,,,30,,,,
1321,,ineffective,problem statement,,if in introduction,,,,,30,1,13,,NULL
3236,,insight into,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
3237,,insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,insight%
,,insufficient data,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1339,,insufficient data,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,insufficient evidence,limitation,limitation,if in discussion or in conclusion section,,,,,5,,,,
6731,,insufficient evidence,problem statement,,if in introduction ,,,,,30,1,21,NULL,NULL
,,insufficient research,limitation,limitation,if in discussion or in conclusion section,,,,,5,,,,
1341,,insufficient research,problem statement,problem statement,if in introduction ,,,,,30,1,6,,NULL
1342,,insufficient sample size,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
Sep13,,intended as a stepping-stone,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
,,however… remains,problem statement,,if in introduction,,,,,30,,,,
1395,,issue of reliability,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
,,issue of ... remain unanswered,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1396,,issue of ... remain unanswered,problem statement,,if in introduction ,,,,,30,1,6,,issue% of *** remain% unanswered
,,issues which must be addressed,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1401,,issues which must be addressed,problem statement,,if in introduction ,,,,,30,1,6,,issue% ** be addressed
7893,,it was hypothesized that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7634,,it would be expected that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,labor-intensive,problem statement,,if in introduction,,,,,30,,,,
,,takes time and money,problem statement,,if in introduction,,,,,30,,,,
,,takes time,problem statement,,if in introduction,,,,,30,,,,
Sep13,,labour intensive,problem statement,,if in introduction,,,,,30,,,,
,,lack of sufficiently … has,problem statement,,if in introduction,,,,,30,,,,
7264,,lack of … has prevented,problem statement,,if in introduction,,,,,30,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,lack of ** prevent%
7266,,lack of ... has restricted,problem statement,,if in introduction,,,,,30,1,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter,lack of *** restricted
1494,,larger sample population,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
Sep13,,lends support to,contribution,contribution,,if in conclusion,,,,6,,,,
,,lent further impetus,contribution,,,if in conclusion,,,,8,,,,
Sep13,,lent further impetus,contribution,,,,,,,6,,,,
6043,,less is known,problem statement,,if in introduction,,,,,30,1,6,,NULL
Sep13,,less is known about,problem statement,,if in introduction,,,,,30,,,,
1511,,less than adequate,problem statement,,if in introduction,,,,,30,1,6,,NULL
3822,,limitation,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,limitation%
1527,,limitation needs to be,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
1528,,limitation needs to be  pointed out,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
1530,,limitation of,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
3821,,limitations,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
3941,,limitations need to be,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,limitation% need% to be
1529,,limitations of our study,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
Sep13,,limitations of this study,limitation,,"if appears in Discussion or 
conclusion sections",,,,,5,,,,
,,limited data,problem statement,,if in introduction,,,,,30,,,,
1532,,limited data,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
,,limited data available,problem statement,,if in introduction,,,,,30,,,,
245,,limited data available,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
,,limited understanding,problem statement,problem statement,if in introduction,,,,,30,,,,
Sep13,,limited-coverage,limitation,,if in discussion or in conclusion sections,,,,,5,,,,
1540,,little accumulated research,problem statement,,if in introduction ,,,,,30,1,6,,NULL
3998,,little agreement as to,problem statement,,if in introduction ,,,,,30,1,6,,* agreement as to
Sep13,,little attention has been,problem statement,problem statement,if in introduction ,,,,,30,,,,
Sep13,,little attention has been paid to,problem statement,problem statement,if in introduction ,,,,,30,,,,
1549,,little is known about,problem statement,,if in introduction ,,,,,30,1,6,,NULL
4412,,little progress has been made,problem statement,,if in introduction ,,,,,30,1,13,,NULL
1552,,little research,problem statement,,if in introduction ,,,,,30,1,6,,NULL
3829,,major limitation,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
1577,,major limitations of,limitation,,if in discussion or in conclusion sections,,,,,5,1,13,,NULL
1587,,map the territory,contribution,,if in conclusion,,,,,6,1,6,,NULL
Sep13,,may have contributed,contribution,,,,,,,8,,,,
3203,,may help you to,contribution,,,,,,,8,1,8,NULL,may help * to
Sep13,,may provide a better,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
Sep13,,may shed further light,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
6370,empirical ,measurement bias,limitation,,if in discussion or in conclusion sections,,,,,5,1,6,,NULL
Sep13,,merit attention,limitation,,if in discussion or in conclusion sections,,,,,5,,,,
,,merit further investigation,limitation,,if in discussion or in conclusion sections,,,,,5,,,,
1642,,merit further investigation,problem statement,,if in introduction ,,,,,30,1,6,,merit% further *
7529,,merits special attention,problem statement,,if in introduction ,,,,,30,1,6,,merit% special attention
3204,,might help you to,contribution,,,,,,,8,1,8,NULL,might help * to
,,minimal amount of research,problem statement,problem statement,if in introduction ,,,,,30,,,,
,,research is needed,problem statement,,if in introduction ,,,,,30,,,,
1691,,research is needed,limitation,,if in discussion or in conclusion section,,,,,5,1,13,,* research is needed
,,studies are needed,rcommendation,,if in discussion or in conclusion section,,,,,6,,,,
1693,,research is needed,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,little is known about,problem statement,,if in introduction,,,,,30,,,,
,,much less is known,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1733,,much less is known,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,must be addressed,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1744,,must be addressed,problem statement,,if in introduction ,,,,,30,1,13,,NULL
1745,,must be complemented by,recommendation ,,,,,,,31,1,13,,NULL
6119,,necessary for understanding,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
1774,,need to be conducted,problem statement,,if in introduction,,,,,30,1,13,,NULL
5066,,need to be confirmed,problem statement,,if in introduction,,,,,30,1,21,NULL,NULL
1775,,need to be examined in more detail,problem statement,,if in introduction,,,,,30,1,6,,NULL
Sep13,,needs a more,problem statement,,if in introduction,,,,,30,,,,
Sep13,,needs further,problem statement,,if in introduction,,,,,30,,,,
Sep13,,needs more,problem statement,,if in introduction,,,,,30,,,,
6240,,needs of,problem statement,,if in introduction,,,,,30,1,6,,needs of **
5341,,negative consequence for,problem statement,,if in introduction,,,,,30,1,9,NULL,negative consequence% for
7293,,negative effect,problem statement,,if in introduction,,,,,30,1,9,NULL,NULL
1780,,negative effect of,problem statement,,if in introduction,,,,,30,1,6,,NULL
1784,,neglect to consider,problem statement,,if in introduction,,,,,30,1,6,,NULL
1785,,neglect to take into account,problem statement,,if in introduction,,,,,30,1,6,,neglect to take *** into account
3853,,never been fully realized,problem statement,,if in introduction ,,,,,30,1,13,,NULL
3238,,new light,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
1797,,no evidence that,problem statement,,if in introduction,,,,,30,1,21,NULL,NULL
1798,,no guarantee that,problem statement,problem statement,if in introduction,,,,,30,1,6,,NULL
1804,,no previous research,problem statement,,if in introduction ,,,,,30,1,6,,NULL
1805,,no previous studies,problem statement,,if in introduction ,,,,,30,1,6,,NULL
1806,,no research,problem statement,,if in introduction ,,,,,30,1,6,,NULL
1812,,no substantial evidence,problem statement,,if in introduction,,,,,30,1,21,NULL,no * evidence
Sep13,,not a ... solution,problem statement,,if in introduction,,,,,30,,,,
,,not adequately operationalized,limitation,,if in conclusion,,,,,5,,,,
,,not all these factors are understood,limitation,,if in discussion or in conclusion section,,,,,5,,,,
1821,,not always reliable,limitation,,if in discussion or in conclusion section,,,,,5,1,6,,NULL
1829,,not completely understood,problem statement,,if in introduction ,,,,,30,1,6,,NULL
316,,not enough data,problem statement,,if in introduction,,,,,30,1,6,,NULL
6732,,not enough evidence,problem statement,,if in introduction,,,,,30,1,13,,NULL
Sep13,,not enough is known about,problem statement,,if in introduction,,,,,30,,,,
3904,,not feasible,problem statement,problem statement,if in introduction,,,,,30,1,13,,NULL
3866,,not fully successful,problem statement,,if in introduction,,,,,30,1,13,,NULL
1835,,not guarantee,problem statement,,if in introduction,,,,,30,1,6,,NULL
1442,,not known whether,problem statement,,if in introduction,,,,,30,0,25,NULL,NULL
,,not … known,problem statement,,if in introduction,,,,,30,,,,
6022,,not well understood,problem statement,,if in introduction,,,,,30,1,6,,NULL
5050,,not yet been determined,problem statement,,if in introduction,,,,,30,1,21,NULL,not yet been * determined
1875,,number of challenges remain,problem statement,,if in introduction,,,,,30,1,6,,NULL
,,represents a challenge,problem statement,,if in introduction,,,,,30,,,,
1898,,of ... concern,problem statement,,if in introduction,,,,,30,1,6,,NULL
1910,,offer powerful insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,NULL
4640,,offered some suggestions for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,18,NULL,offer% some suggestions *
1917,,often suffer from,problem statement,,if in introduction,,,,,30,1,6,,NULL
,,only partially understood,problem statement,,if in introduction,,,,,30,,,,
6768,,our awareness,contribution,,,,,,,8,1,8,NULL,NULL
7896,,our hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
1989,,our hypothesis was,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7474,,our research complements,contribution,,,,,,,8,1,8,NULL,our * complements
1990,,our research question was,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7897,,our research questions were,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6917,,our research questions were as follows,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
3201,,our understanding of,contribution,,,,,,,8,1,8,NULL,* understanding of
,,negative impact on,problem statement,,if in introduction,,,,,30,,,,
2023,,part of the problem,problem statement,,if in introduction,,,,,30,1,6,,NULL
2028,,partially explained by,problem statement,,if in introduction,,,,,30,1,20,NULL,NULL
3662,,paucity of data,problem statement,,if in introduction,,,,,30,1,6,,NULL
2045,,paucity of research,problem statement,,if in introduction,,,,,30,1,6,,NULL
2058,,perform poorly,problem statement,problem statement,if in introduction,,,,,30,1,6,,NULL
2066,,picture we have is far from complete,problem statement,,if in introduction,,,,,30,1,6,,NULL
2086,,positive contribution,contribution,contribution,if in discussion or in conclusion section,,,,,8,1,21,NULL,NULL
2143,,previous research has not,problem statement,,if in introduction ,,,,,30,1,6,,NULL
,,previous studies have not ,problem statement,,if in introduction ,,,,,30,,,,
2145,,previous studies have not addressed,problem statement,problem statement,if in introduction ,,,,,30,1,6,,NULL
2169,,problem,problem statement,,if in introduction ,,,,,30,1,6,,NULL
2172,,problem area,problem statement,,if in introduction ,,,,,30,1,6,,NULL
Sep13,,problem can be seen as,problem statement,problem statement,if in introduction ,,,,,30,,,,
Sep13,,problem is that,problem statement,problem statement,if in introduction ,,,,,30,,,,
2173,,problem is to,problem statement,,if in introduction ,,,,,30,1,6,,NULL
Sep13,,problem of,problem statement,problem statement,if in introduction ,,,,,30,,,,
Sep13,,problem of how to,problem statement,problem statement,if in introduction ,,,,,30,,,,
2175,,problem remains as to how,problem statement,,if in introduction ,,,,,30,1,6,,NULL
7908,,problem remains as to why,problem statement,,if in introduction ,,,,,30,1,6,,NULL
Sep13,,problem we study is,problem statement,problem statement,if in introduction ,,,,,30,,,,
7048,,problem with,problem statement,problem statement,if in introduction ,,,,,30,1,6,,NULL
7013,,problem with this is that,problem statement,,if in introduction ,,,,,30,1,21,NULL,problem with ** is that
2176,,problematic,problem statement,,if in introduction ,,,,,30,1,6,,NULL
2177,,problems,problem statement,,if in introduction ,,,,,30,1,6,,problem% ***
Sep13,,problems can be seen as,problem statement,,if in introduction ,,,,,30,,,,
2178,,problems remain,problem statement,,if in introduction ,,,,,30,1,6,,NULL
8015,,provide a basis for,contribution,,if in conclusion section,,,,,6,1,6,,provide% a * basis for
,,provide a means of,contribution,,if in discussion or in conclusion section,,,,,8,,,,
Sep13,,provide a unique glimpse into,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
